source,target,edge_type,weight,weight_normalized,raw_count,edge_attr,distance_km,bearing,avg_distance,avg_time_gap
533a29b6-f692-4842-837c-b7a7b181c39f,43538592-12b9-4856-b87e-bcb12ee42d11,geospatial,0.4852688633135173,0.8192201912894204,1,"[0.4852688633135173, 0.7230521842964666, 0.8813069129895245, 2.0]",1.4461043685929331,317.2704886762288,,
533a29b6-f692-4842-837c-b7a7b181c39f,43538592-12b9-4856-b87e-bcb12ee42d11,geospatial,0.4852688633135173,0.8192201912894204,1,"[0.4852688633135173, 0.7230521842964666, 0.8813069129895245, 2.0]",1.4461043685929331,317.2704886762288,,
533a29b6-f692-4842-837c-b7a7b181c39f,1b6daab9-acf8-4e1e-aea7-967b60ff383a,geospatial,0.43120200533203695,0.7279457142179538,1,"[0.43120200533203695, 0.8411786088136624, 0.9068146630130465, 2.0]",1.6823572176273247,326.4532786846967,,
533a29b6-f692-4842-837c-b7a7b181c39f,1b6daab9-acf8-4e1e-aea7-967b60ff383a,geospatial,0.43120200533203695,0.7279457142179538,1,"[0.43120200533203695, 0.8411786088136624, 0.9068146630130465, 2.0]",1.6823572176273247,326.4532786846967,,
533a29b6-f692-4842-837c-b7a7b181c39f,fb2e9ef7-38bc-4429-9a4e-2aa58c52aac0,geospatial,0.5213117976447676,0.8800670780149805,1,"[0.5213117976447676, 0.6514069562637602, 0.9312778114744297, 2.0]",1.3028139125275204,335.2600121307947,,
533a29b6-f692-4842-837c-b7a7b181c39f,fb2e9ef7-38bc-4429-9a4e-2aa58c52aac0,geospatial,0.5213117976447676,0.8800670780149805,1,"[0.5213117976447676, 0.6514069562637602, 0.9312778114744297, 2.0]",1.3028139125275204,335.2600121307947,,
533a29b6-f692-4842-837c-b7a7b181c39f,6a15eafc-157d-4ce8-9576-86e1301b68a1,geospatial,0.389978675417622,0.6583533979348143,1,"[0.389978675417622, 0.9416632197697179, 0.962303934388225, 2.0]",1.8833264395394358,346.429416379761,,
533a29b6-f692-4842-837c-b7a7b181c39f,6a15eafc-157d-4ce8-9576-86e1301b68a1,geospatial,0.389978675417622,0.6583533979348143,1,"[0.389978675417622, 0.9416632197697179, 0.962303934388225, 2.0]",1.8833264395394358,346.429416379761,,
533a29b6-f692-4842-837c-b7a7b181c39f,f3a6c0ea-b82d-4cbd-923d-18b6f4cfd255,geospatial,0.6571854051404351,1.1094459051742867,1,"[0.6571854051404351, 0.41978910070342146, 0.960987131300586, 2.0]",0.8395782014068429,345.955367268211,,
533a29b6-f692-4842-837c-b7a7b181c39f,f3a6c0ea-b82d-4cbd-923d-18b6f4cfd255,geospatial,0.6571854051404351,1.1094459051742867,1,"[0.6571854051404351, 0.41978910070342146, 0.960987131300586, 2.0]",0.8395782014068429,345.955367268211,,
533a29b6-f692-4842-837c-b7a7b181c39f,f1ea987c-1653-4c32-a812-419babae7d5f,geospatial,0.6429278439681836,1.0853766048876405,1,"[0.6429278439681836, 0.44172277882027833, 0.9772378862641945, 2.0]",0.8834455576405567,351.80563905511,,
533a29b6-f692-4842-837c-b7a7b181c39f,f1ea987c-1653-4c32-a812-419babae7d5f,geospatial,0.6429278439681836,1.0853766048876405,1,"[0.6429278439681836, 0.44172277882027833, 0.9772378862641945, 2.0]",0.8834455576405567,351.80563905511,,
533a29b6-f692-4842-837c-b7a7b181c39f,3f999e30-c4b3-47c4-83ec-a85450a9e6ab,geospatial,0.6673496656521304,1.1266049855732425,1,"[0.6673496656521304, 0.404441134070373, 0.3213466196422243, 2.0]",0.808882268140746,115.68478307120074,,
533a29b6-f692-4842-837c-b7a7b181c39f,3f999e30-c4b3-47c4-83ec-a85450a9e6ab,geospatial,0.6673496656521304,1.1266049855732425,1,"[0.6673496656521304, 0.404441134070373, 0.3213466196422243, 2.0]",0.808882268140746,115.68478307120074,,
533a29b6-f692-4842-837c-b7a7b181c39f,ca5ecc8b-a94a-4466-b170-ae907f1063a1,geospatial,0.653160313033954,1.1026508334630845,1,"[0.653160313033954, 0.425932677487389, 0.2304033996583611, 2.0]",0.851865354974778,82.94522387701,,
533a29b6-f692-4842-837c-b7a7b181c39f,ca5ecc8b-a94a-4466-b170-ae907f1063a1,geospatial,0.653160313033954,1.1026508334630845,1,"[0.653160313033954, 0.425932677487389, 0.2304033996583611, 2.0]",0.851865354974778,82.94522387701,,
533a29b6-f692-4842-837c-b7a7b181c39f,b2b52e98-49d0-4789-b3f1-3584a6fe96ac,geospatial,0.6604197838796698,1.1149061120199637,1,"[0.6604197838796698, 0.414879609965633, 0.22680012735376004, 2.0]",0.829759219931266,81.64804584735361,,
533a29b6-f692-4842-837c-b7a7b181c39f,b2b52e98-49d0-4789-b3f1-3584a6fe96ac,geospatial,0.6604197838796698,1.1149061120199637,1,"[0.6604197838796698, 0.414879609965633, 0.22680012735376004, 2.0]",0.829759219931266,81.64804584735361,,
533a29b6-f692-4842-837c-b7a7b181c39f,48329021-512b-4f77-a99e-0673415e511c,geospatial,0.4483687382711951,0.7569262141128041,1,"[0.4483687382711951, 0.8021393086106584, 0.2349802682892614, 2.0]",1.6042786172213168,84.59289658413411,,
533a29b6-f692-4842-837c-b7a7b181c39f,48329021-512b-4f77-a99e-0673415e511c,geospatial,0.4483687382711951,0.7569262141128041,1,"[0.4483687382711951, 0.8021393086106584, 0.2349802682892614, 2.0]",1.6042786172213168,84.59289658413411,,
