poi_id,level,Y_A_split_idx,total_dims,spatial_lat_norm,spatial_lon_norm,num_districts_norm,text_atm,text_atm general,text_bar,text_chicken,text_clinic clinic,text_coffee,text_coffee cafe,text_dental,text_dentist,text_dentist health,text_dining work,text_essentials ntuc,text_fairprice,text_fairprice supermarket,text_food,text_hotel,text_hotel hotel,text_hotel local,text_hotel luxury,text_kitchen,text_local staycation,text_luxury pet,text_luxury staycation,text_ntuc,text_ntuc fairprice,text_sheng,text_singapore,text_staycation,text_uob,text_uob atm,user_count,interaction_variance,user_pref_diversity,visit_ratio,avg_rating,search_to_visit_ratio,repeat_visitor_ratio,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,latent_64
region_EAST,level_3,33,105,-0.16165988,1.4146707,-0.66594964,0.038680356,0.025786905,0.090254165,0.18050833,0.15472142,0.41259047,0.10314762,0.15472142,0.16761488,0.16761488,0.090254165,0.12261502,0.12893452,0.0,0.0,0.23208213,0.030653754,0.14182797,0.04598063,0.06446726,0.14182797,0.05157381,0.04598063,0.1379419,0.1379419,0.6704595,0.07385643,0.18050833,0.018464107,0.018464107,0.122818835,-0.39570323,0.031168183,0.122818835,-0.3638204,0.31869376,-0.39570323,0.53924996,0.8003889,-0.4304792,-0.57071465,0.122818835,0.98817915,0.98817915,0.31869376,-0.4304792,-0.57071465,-0.69366056,-0.39570323,0.31869376,0.8003889,-0.4304792,-0.57071465,0.98817915,0.53924996,1.547542,-0.84112126,1.7706982,-0.47814286,-1.3544493,0.5192419,-0.4193013,0.03380772,0.17817417,-0.2629285,1.2160723,-0.5001724,1.0018679,0.0,0.58194095,0.0,-0.8725473,1.7033437,-0.50874877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_CENTRAL,level_3,33,105,-1.4311914,0.07869081,1.962799,0.31354985,0.31160635,0.036926325,0.020082738,0.023969721,0.040165477,0.023969721,0.02267406,0.028504532,0.02656104,0.041461136,0.017712241,0.019434908,0.018554546,0.029152362,0.37962854,0.077779844,0.19305342,0.05467692,0.027856702,0.22933191,0.027856702,0.05467692,0.020792631,0.020792631,0.00064783025,0.08071227,0.27532786,0.51674414,0.44345367,-0.28755492,0.67260164,-1.2086546,-0.28755492,-0.67067343,1.2691667,0.67260164,-0.7065254,-1.1252848,-0.47178572,0.9760918,-0.28755492,0.16661213,0.16661213,1.2691667,-0.47178572,0.9760918,-0.27975467,0.67260164,1.2691667,-1.1252848,-0.47178572,0.9760918,0.16661213,-0.7065254,0.43212718,-0.40463528,-0.524343,-0.07501858,0.34724334,0.47180557,0.184068,-0.4983275,1.5144805,1.9845871,0.51070935,-0.48500437,0.5722423,0.0,1.6926085,0.0,0.589266,0.5248997,1.9937406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_NORTH-EAST,level_3,33,105,0.49774408,0.518693,-0.49069974,0.0,0.0,0.050379273,0.050379273,0.30227563,0.5037927,0.25189635,0.30227563,0.30227563,0.30227563,0.25189635,0.0,0.0,0.0,0.100758545,0.20151709,0.0,0.100758545,0.0,0.20151709,0.100758545,0.3526549,0.0,0.0,0.0,0.050379273,0.0,0.100758545,0.0,0.0,-0.46337426,-0.94528127,-0.12869771,-0.46337426,1.6528502,0.7480062,-0.94528127,-1.503814,-0.3573227,0.12986717,1.1024244,-0.46337426,-0.4066264,-0.4066264,0.7480062,0.12986717,1.1024244,1.8918995,-0.94528127,0.7480062,-0.3573227,0.12986717,1.1024244,-0.4066264,-1.503814,-0.58950126,1.8422608,-0.025480608,-1.5612967,1.6451453,-1.4805797,1.6457943,-0.5178978,-0.26726127,-0.52498215,0.42592886,1.1641628,0.7351739,0.0,-0.6141625,0.0,1.6874452,-0.9308169,-0.5544266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_WEST,level_3,33,105,-0.47180352,-1.5973353,-0.14019993,0.038367864,0.038367864,0.009591966,0.0,0.038367864,0.057551794,0.019183932,0.038367864,0.038367864,0.038367864,0.057551794,0.42188475,0.37408668,0.52197576,0.06714376,0.038367864,0.01140229,0.009591966,0.01140229,0.028775897,0.009591966,0.009591966,0.01140229,0.4446893,0.43328702,0.019183932,0.0,0.019183932,0.0,0.0,1.8124293,1.6136644,-0.5020186,1.8124293,-1.1736827,-1.1679333,1.6136644,0.31004244,-0.8278051,-1.0761522,0.073582515,1.8124293,-1.7064716,-1.7064716,-1.1679333,-1.0761522,0.073582515,-0.9280077,1.6136644,-1.1679333,-0.8278051,-1.0761522,0.073582515,-1.7064716,0.31004244,0.048079897,-0.8259603,-1.2599663,1.2724468,-0.5786837,1.2925853,0.03188498,-0.9229582,0.17817417,-0.5801859,-0.45916507,1.1641628,-1.6352262,0.0,-0.97299355,0.0,-0.8725473,-0.8885284,-0.35168633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_NORTH,level_3,33,105,1.5669107,-0.4147192,-0.66594964,0.6963575,0.6963575,0.0,0.09284767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046423834,0.0,0.1392715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.184319,-0.94528127,1.8082026,-1.184319,0.55532646,-1.1679333,-0.94528127,1.3610469,1.5100236,1.84855,-1.5813841,-1.184319,0.9583068,0.9583068,-1.1679333,1.84855,-1.5813841,0.009523467,-0.94528127,-1.1679333,1.5100236,1.84855,-1.5813841,0.9583068,1.3610469,-1.4382477,0.22945608,0.039091535,0.8420115,-0.059255697,-0.8030531,-1.4424459,1.9053757,-1.6035674,-0.6164906,-1.6935455,-1.3431488,-0.6740578,0.0,-0.6873933,0.0,-0.53161657,-0.4088981,-0.57887894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
