source,target,edge_type,weight,raw_count
90b50920-882b-4df6-a70d-4b9bcf9aa42a,61dafe9b-b16f-49e1-9cd4-389e7ce3eab5,geospatial,0.4279097667469145,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,470a61bc-e973-4e18-8031-18d72fb44895,geospatial,0.48927258864638934,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,cf175d95-329e-42ee-adbd-267caefb5fda,geospatial,0.37922681145741416,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,ad198034-f994-4c51-98de-ec1bf8f4ad39,geospatial,0.5206513331560226,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,176cf445-fc02-4549-aa5a-257283321ea7,geospatial,0.3354440844927084,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,d278b451-110b-4f88-a4fb-a54f4419efbf,geospatial,0.4184141663205203,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,827e8a85-8235-418a-9225-5396109a1752,geospatial,0.42224145947143077,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,5cfbcfa1-14fd-4dc9-b20c-17edb7ec948d,geospatial,0.4258472578898275,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,02229957-6948-404e-881b-4a20fcf18f74,geospatial,0.42200433749894084,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,970e40f7-ffaf-41ae-b1d3-d00baae48bcb,geospatial,0.38914895543764205,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,b51e2a93-ad7a-470c-9ce9-d7442dfac1f0,geospatial,0.4048353761634625,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,baac3a31-741f-4411-9d45-2abf3a21480e,geospatial,0.40391744767653304,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,6f258d7f-7782-4ed6-86a9-4dc9909d0681,geospatial,0.4805906063363965,
90b50920-882b-4df6-a70d-4b9bcf9aa42a,2ac43248-e4e1-485d-b43c-6866a359a10c,geospatial,0.3917617536704956,
