poi_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
0,-0.16165988,1.4146707,-0.66594964,0.038680356,0.025786905,0.090254165,0.18050833,0.15472142,0.41259047,0.10314762,0.15472142,0.16761488,0.16761488,0.090254165,0.12261502,0.12893452,0.0,0.0,0.23208213,0.030653754,0.14182797,0.04598063,0.06446726,0.14182797,0.05157381,0.04598063,0.1379419,0.1379419,0.6704595,0.07385643,0.18050833,0.018464107,0.018464107,0.122818835,-0.39570323,0.031168183,0.122818835,-0.3638204,0.31869376,-0.39570323,0.53924996,0.8003889,-0.4304792,-0.57071465,0.122818835,0.98817915,0.98817915,0.31869376,-0.4304792,-0.57071465,-0.69366056,-0.39570323,0.31869376,0.8003889,-0.4304792,-0.57071465,0.98817915,0.53924996,1.547542,-0.84112126,1.7706982,-0.47814286,-1.3544493,0.5192419,-0.4193013,0.03380772,0.17817417,-0.2629285,1.2160723,-0.5001724,1.0018679,0.0,0.58194095,0.0,-0.8725473,1.7033437,-0.50874877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4030652,1.7913489,-1.0907402,-0.077911794,-0.0314845,0.05187494,0.14519459,0.05998596,0.42025286,0.06351673,0.098078534,0.12451102,0.16513647,0.030752663,0.071586095,0.009321574,-0.13073146,-0.16978484,0.19657338,-0.075742505,0.06998282,-0.025571799,-0.021259297,0.12841465,-0.040437788,-0.08836858,0.13177569,0.015787859,0.80722547,-0.004810109,0.21279438,-0.11726515,-0.06348571,0.1136002,-0.6879515,-0.07056846,0.050715663,-0.83520234,0.39079905,-0.75573635,0.5789882,0.9073614,-0.66795164,-0.9016221,0.05030246,1.2129296,1.398749,0.36580485,-0.7562691,-0.9060804,-1.2163208,-0.79336476,0.37888125,1.0132236,-0.7796974,-0.74274004,1.2079414,0.61177677,2.1490748,-1.4997382,2.415472,-0.80887294,-2.0360966,0.65889525,-0.6462805,-0.15219918,0.12863542,-0.4832009,1.5477413,-0.75909704,1.3527309,-0.04150214,0.64984965,-0.11874526,-1.3166242,2.406274,-0.81974256,-0.06701056,-0.07008185,-0.041329283,-0.10413654,-0.022807784,-0.12561579,-0.08014105,-0.17578095,0.016486512,-0.08899796,-0.115823194,-0.02695216,-0.095090166,-0.10531354,-0.053767383,-0.10284837,-0.12457327,0.017073799,-0.08358666,-0.033493504,-0.16817532,-0.11830081,-0.040957745,-0.15260783,-0.16524434,-0.061027884,-0.07690685,-0.0669354
1,-1.4311914,0.07869081,1.962799,0.31354985,0.31160635,0.036926325,0.020082738,0.023969721,0.040165477,0.023969721,0.02267406,0.028504532,0.02656104,0.041461136,0.017712241,0.019434908,0.018554546,0.029152362,0.37962854,0.077779844,0.19305342,0.05467692,0.027856702,0.22933191,0.027856702,0.05467692,0.020792631,0.020792631,0.00064783025,0.08071227,0.27532786,0.51674414,0.44345367,-0.28755492,0.67260164,-1.2086546,-0.28755492,-0.67067343,1.2691667,0.67260164,-0.7065254,-1.1252848,-0.47178572,0.9760918,-0.28755492,0.16661213,0.16661213,1.2691667,-0.47178572,0.9760918,-0.27975467,0.67260164,1.2691667,-1.1252848,-0.47178572,0.9760918,0.16661213,-0.7065254,0.43212718,-0.40463528,-0.524343,-0.07501858,0.34724334,0.47180557,0.184068,-0.4983275,1.5144805,1.9845871,0.51070935,-0.48500437,0.5722423,0.0,1.6926085,0.0,0.589266,0.5248997,1.9937406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.006797,-0.0072868317,2.2448506,0.18536526,0.20453541,-0.11055772,-0.09665236,-0.12248126,-0.0590776,-0.02998323,-0.058222108,-0.17409068,-0.07399992,-0.062241398,-0.11305064,-0.1961287,-0.17338562,-0.17543867,0.3721836,-0.055360407,0.06942682,-0.09659145,-0.10344217,0.1767082,-0.096476376,-0.03692803,-0.045493998,-0.17528465,-0.06338554,-0.09085575,0.22398208,0.36449233,0.37124798,-0.44838887,0.6038965,-1.6128148,-0.5551746,-1.2228544,1.4135082,0.60504025,-1.102885,-1.5184067,-0.66139466,1.0812887,-0.57156533,0.14027146,0.06300089,1.3576632,-0.77684295,1.0187391,-0.5985118,0.691347,1.4183109,-1.7271749,-0.79077506,1.0364016,0.08242832,-1.0055257,0.42402786,-0.813617,-0.88947314,-0.25050944,0.24874876,0.43057078,0.06470092,-0.8070744,1.6767147,2.425344,0.5010769,-0.76872224,0.6762242,-0.15694913,1.8721925,-0.14296058,0.51520795,0.58985096,2.3281822,-0.0946966,-0.09393006,-0.100431174,-0.13605535,-0.108173445,-0.12839185,-0.13303821,-0.19753057,-0.08053765,-0.05301072,-0.16706726,-0.1261379,-0.03905411,-0.10852824,-0.09069669,-0.12645629,-0.105026536,-0.046303038,-0.14726925,-0.036249503,-0.16370754,-0.14253987,-0.1418494,-0.15523106,-0.18786503,-0.10906746,-0.1421422,-0.15594083
2,0.49774408,0.518693,-0.49069974,0.0,0.0,0.050379273,0.050379273,0.30227563,0.5037927,0.25189635,0.30227563,0.30227563,0.30227563,0.25189635,0.0,0.0,0.0,0.100758545,0.20151709,0.0,0.100758545,0.0,0.20151709,0.100758545,0.3526549,0.0,0.0,0.0,0.050379273,0.0,0.100758545,0.0,0.0,-0.46337426,-0.94528127,-0.12869771,-0.46337426,1.6528502,0.7480062,-0.94528127,-1.503814,-0.3573227,0.12986717,1.1024244,-0.46337426,-0.4066264,-0.4066264,0.7480062,0.12986717,1.1024244,1.8918995,-0.94528127,0.7480062,-0.3573227,0.12986717,1.1024244,-0.4066264,-1.503814,-0.58950126,1.8422608,-0.025480608,-1.5612967,1.6451453,-1.4805797,1.6457943,-0.5178978,-0.26726127,-0.52498215,0.42592886,1.1641628,0.7351739,0.0,-0.6141625,0.0,1.6874452,-0.9308169,-0.5544266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45305717,0.56389505,-0.67763567,-0.12676595,-0.07173652,-0.030168783,-0.05645857,0.3416851,0.566726,0.2170066,0.3341517,0.25611377,0.3485084,0.23570961,-0.02142955,-0.081812404,0.0056125745,0.045757364,0.1819241,-0.056902654,0.07107467,-0.042186014,0.18149392,0.03217635,0.27917194,-0.06382492,-0.02013025,0.00033043046,0.046632685,0.019844197,0.030741394,-0.07747576,-0.022398029,-0.5332086,-1.0851256,-0.21994068,-0.5806618,1.8722057,0.8552668,-1.0906669,-1.8346574,-0.4917785,0.054121003,1.2229103,-0.5051802,-0.5925331,-0.5595376,0.8395363,-0.0031168982,1.2414398,2.1429539,-1.1485108,0.8305181,-0.5380896,0.092454314,1.2423539,-0.5200999,-1.7731854,-0.71958405,2.03911,-0.13015415,-1.8715152,1.8427082,-1.7406046,1.8180366,-0.6571984,-0.23300903,-0.69446456,0.48239964,1.279394,0.837886,-0.053221144,-0.7472301,0.026468582,1.883208,-1.1588075,-0.6804317,0.054303877,-0.010757104,0.0018662959,-0.044177506,-0.040427655,-0.029945811,-0.031405512,-0.05041053,-0.08784618,-0.09774794,-0.072233036,-0.08417841,-0.049053743,0.040398277,-0.067933366,-0.06493544,0.053036842,-0.1414708,-0.107059315,0.00933074,-0.1300671,-0.009213507,-0.030813161,-0.08701725,-0.10677105,-0.059188917,-0.08020373,-0.08599766
3,-0.47180352,-1.5973353,-0.14019993,0.038367864,0.038367864,0.009591966,0.0,0.038367864,0.057551794,0.019183932,0.038367864,0.038367864,0.038367864,0.057551794,0.42188475,0.37408668,0.52197576,0.06714376,0.038367864,0.01140229,0.009591966,0.01140229,0.028775897,0.009591966,0.009591966,0.01140229,0.4446893,0.43328702,0.019183932,0.0,0.019183932,0.0,0.0,1.8124293,1.6136644,-0.5020186,1.8124293,-1.1736827,-1.1679333,1.6136644,0.31004244,-0.8278051,-1.0761522,0.073582515,1.8124293,-1.7064716,-1.7064716,-1.1679333,-1.0761522,0.073582515,-0.9280077,1.6136644,-1.1679333,-0.8278051,-1.0761522,0.073582515,-1.7064716,0.31004244,0.048079897,-0.8259603,-1.2599663,1.2724468,-0.5786837,1.2925853,0.03188498,-0.9229582,0.17817417,-0.5801859,-0.45916507,1.1641628,-1.6352262,0.0,-0.97299355,0.0,-0.8725473,-0.8885284,-0.35168633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39648739,-1.5693057,0.06396684,0.062152024,0.09692631,0.18154705,0.14203204,0.20724046,0.19080356,0.15946035,0.15806489,0.22446857,0.14084949,0.09942123,0.55873847,0.44336852,0.68898296,0.17033146,0.17648509,0.09741409,0.14807023,0.1260007,0.17448261,0.12869386,0.12276451,0.14067921,0.6109063,0.56296206,0.13297309,0.15153179,0.15529384,0.098412156,0.13988003,2.1033852,1.9513184,-0.41644034,2.1239848,-1.0928124,-1.0459005,1.8948041,0.5220627,-0.74473464,-1.0127271,0.21860646,2.0989742,-1.7218261,-1.7302167,-1.1050472,-1.0348284,0.2626581,-0.87799823,1.9518832,-1.1187135,-0.7342904,-1.0211333,0.1632426,-1.6704845,0.50520205,0.2939755,-0.76001936,-1.1893198,1.476673,-0.5179079,1.5538646,0.15439652,-0.82032007,0.33607045,-0.5129702,-0.30897427,1.3738158,-1.636938,0.17128819,-0.87156546,0.08565557,-0.85995865,-0.7997328,-0.19592068,0.096036315,0.19842246,0.10569182,0.130133,0.07198733,0.14317252,0.096518315,0.058649786,0.14405802,0.16299641,0.14490934,0.12585084,0.109574884,0.123341635,0.03548429,0.09515278,0.108454384,0.09638557,0.043718576,0.05727712,0.099526554,0.17181356,0.06838096,0.09164173,0.12727414,0.20254263,0.1599511,0.08421956
4,1.5669107,-0.4147192,-0.66594964,0.6963575,0.6963575,0.0,0.09284767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046423834,0.0,0.1392715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.184319,-0.94528127,1.8082026,-1.184319,0.55532646,-1.1679333,-0.94528127,1.3610469,1.5100236,1.84855,-1.5813841,-1.184319,0.9583068,0.9583068,-1.1679333,1.84855,-1.5813841,0.009523467,-0.94528127,-1.1679333,1.5100236,1.84855,-1.5813841,0.9583068,1.3610469,-1.4382477,0.22945608,0.039091535,0.8420115,-0.059255697,-0.8030531,-1.4424459,1.9053757,-1.6035674,-0.6164906,-1.6935455,-1.3431488,-0.6740578,0.0,-0.6873933,0.0,-0.53161657,-0.4088981,-0.57887894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.652061,-0.38738477,-0.5507172,0.78037524,0.7787586,0.01635775,0.14286643,0.09392542,0.05485349,0.06603115,0.080008596,0.059220664,0.071725085,0.06915871,0.08163888,0.12358846,0.05372622,0.19341587,0.046170227,0.07168257,0.044810627,0.06165924,0.07029818,0.049159665,0.031808812,0.028629908,0.11399712,0.07947439,0.07791966,0.076373085,0.05938098,0.108615026,0.062125627,-1.1630023,-0.8959348,1.9123436,-1.1312737,0.6606875,-1.0862991,-0.89268273,1.4593499,1.5792668,1.9828448,-1.5503644,-1.1335151,1.046589,1.0244011,-1.1047837,2.006949,-1.5199305,0.10381383,-0.8644579,-1.0992709,1.5847219,1.9837724,-1.5440164,1.0328761,1.4446023,-1.3434309,0.31151333,0.09121549,0.9204365,0.05806494,-0.71607494,-1.3539015,1.9520042,-1.5811107,-0.5269719,-1.694611,-1.2974372,-0.6218412,0.090046346,-0.6097757,0.065475166,-0.45342296,-0.3587253,-0.42930073,0.059943087,0.03087454,0.067761354,0.0470548,0.062274404,0.0088799065,0.04242853,0.06618615,0.11376515,0.023240555,0.07748604,0.053131312,0.04419772,0.0442916,0.11784182,0.056422614,0.06319149,0.08109589,0.09536734,0.06129897,0.063190214,0.05791981,0.06330311,0.04702103,0.03481247,0.06566687,0.037990067,0.0707705
